Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options,Number of MySuper products authorised,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2021,Retirement Wrap,39827542991,Public offer,Retail,General base,BT Funds Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"86,037,921",3%,"2,672",2,25%,82.2%,0.1%,0.8%,17.8%,7.0%,6.6%,"844,823","85,167,691",101,-8%
30/06/2021,Russell Investments Master Trust,89384753567,Public offer,Retail,Corporate base,Total Risk Management Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"10,352,104",8%,45,1,36%,109.4%,0.0%,0.3%,18.1%,7.6%,7.2%,"75,188","10,167,640",135,-1%
30/06/2021,Spirit Super,74559365913,Public offer,Industry,General base,Motor Trades Association of Australia Superannuation Fund Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"26,630,350",0%,21,1,76%,9.8%,0.3%,0.3%,14.5%,7.7%,7.5%,"330,756","25,335,067",77,64%
30/06/2021,Statewide Superannuation Trust,54145196298,Public offer,Industry,General base,Statewide Superannuation Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"11,947,904",5%,21,1,59%,84.4%,0.3%,0.4%,16.7%,8.2%,8.0%,"158,683","11,207,085",71,4%
30/06/2021,Suncorp Master Trust,98350952022,Public offer,Retail,General base,Suncorp Portfolio Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"6,960,013",0%,57,1,31%,168.9%,0.2%,0.8%,16.0%,6.9%,6.8%,"139,369","6,845,450",49,-10%
30/06/2021,Sunsuper Superannuation Fund,98503137921,Public offer,Industry,General base,Sunsuper Pty. Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"98,938,197",1%,38,1,55%,42.7%,0.5%,0.3%,19.4%,9.1%,8.3%,"1,455,593","89,302,727",61,-4%
30/06/2021,Super Directions Fund,78421957449,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"64,943,327",2%,153,6,35%,271.4%,0.5%,0.4%,17.6%,9.0%,7.8%,"854,727","62,711,726",73,-5%
30/06/2021,Superannuation Retirement Fund,40328908469,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"3,042,999",0%,363,,0%,496.5%,0.0%,0.3%,14.1%,6.9%,6.5%,"46,265","3,033,412",66,-16%
30/06/2021,Symetry Personal Retirement Fund,24685968122,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,430,976",0%,700,,0%,371.8%,0.0%,0.5%,16.2%,5.8%,5.5%,"5,930","1,424,579",240,-13%
30/06/2021,Telstra Superannuation Scheme,85502108833,Public offer,Corporate,Corporate base,Telstra Super Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"25,121,342",6%,15,1,33%,140.2%,0.4%,0.3%,16.8%,7.8%,7.6%,"91,288","23,809,511",261,-2%
30/06/2021,The Bendigo Superannuation Plan,57526653420,Public offer,Retail,General base,Sandhurst Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,636,818",0%,13,1,23%,141.3%,0.0%,0.2%,14.9%,6.5%,6.4%,"20,470","1,618,444",79,-10%
30/06/2021,The Towers Watson Superannuation Fund,93268215348,Non public offer,Retail,Corporate base,Wycomp Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"39,285",*,5,,0%,364.5%,0.0%,0.3%,15.0%,7.0%,6.8%,207,"31,106",150,-4%
30/06/2021,The University of Wollongong Professorial Superannuation Scheme,68672265781,Public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Tidswell Master Superannuation Plan,34300938877,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"976,302",0%,97,,0%,39.0%,0.0%,1.2%,17.3%,8.1%,5.1%,"53,260","924,927",17,49%
30/06/2021,TWU Superannuation Fund,77343563307,Public offer,Industry,Industry base,T W U Nominees Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"6,484,002",0%,3,1,87%,133.9%,0.3%,0.5%,17.9%,8.0%,7.9%,"104,148","6,183,471",59,-5%
30/06/2021,Unisuper,91385943850,Public offer,Industry,Industry base,Unisuper Limited,Public company ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"102,593,950",24%,16,1,25%,51.0%,0.4%,0.1%,15.2%,8.4%,9.3%,"497,959","91,071,902",183,0%
30/06/2021,Wealth Personal Superannuation and Pension Fund,92381911598,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"53,912,892",0%,"1,489",,0%,92.2%,0.0%,0.3%,15.8%,6.6%,6.6%,"295,354","53,426,136",181,-4%
30/06/2021,Zurich Master Superannuation Fund,33632838393,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"996,618",0%,16,,0%,335.3%,1.2%,0.1%,17.1%,6.7%,6.5%,"11,163","993,795",89,-11%
