Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options*,Number of MySuper products authorised*,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2023,The Bendigo Superannuation Plan,57526653420,Public offer,Retail,General base,Bendigo Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,461,747",0%,,,30%,189.4%,0.0%,0.2%,6.5%,3.8%,4.9%,"19,063","1,458,917",77,-4%
30/06/2023,The Towers Watson Superannuation Fund,93268215348,Non public offer,Retail,Corporate base,Wycomp Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,*,*,,,*,*,*,*,*,*,*,*,*,*,*
30/06/2023,The University of Wollongong Professorial Superannuation Scheme,68672265781,Public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,*,*,,,*,*,*,*,*,*,*,*,*,*,*
30/06/2023,Tidswell Master Superannuation Plan,34300938877,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,376,447",0%,,,0%,60.9%,0.1%,1.1%,14.4%,5.0%,5.4%,"83,574","1,342,632",16,14%
30/06/2023,TWU Superannuation Fund,77343563307,Public offer,Industry,Industry base,T W U Nominees Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"6,728,177",0%,,,86%,106.1%,0.3%,0.5%,8.7%,5.2%,6.9%,"95,546","6,531,928",68,-3%
30/06/2023,Ultimate Superannuation Fund,97900294767,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"175,363",0%,,,0%,362.8%,0.0%,0.6%,7.8%,3.2%,4.0%,637,"174,559",274,-25%
30/06/2023,Unisuper,91385943850,Public offer,Industry,Industry base,Unisuper Limited,Public company ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"127,415,732",20%,,,28%,23.7%,0.4%,0.1%,8.3%,5.8%,8.0%,"648,818","115,807,095",178,23%
30/06/2023,Vanguard Super,27923449966,Public offer,Retail,General base,Vanguard Super Pty Ltd,Other ownership type,For profit status,Non equal representation,30/06/2023,12,,"623,824",0%,,,52%,2.3%,0.2%,0.2%,8.7%,,,"8,880","609,653",69,
30/06/2023,Wealth Personal Superannuation and Pension Fund,92381911598,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"55,557,752",0%,,,0%,91.3%,0.0%,0.3%,8.5%,3.9%,5.3%,"255,607","55,306,486",216,-19%
30/06/2023,Zurich Master Superannuation Fund,33632838393,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"851,967",0%,,,0%,326.3%,0.4%,0.6%,8.3%,4.1%,5.4%,"9,103","849,087",93,-10%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Starting from June 2023 period, the Annual fund-level statistics does not contain data reported under Reporting Standard SRS 601.0 Profile and Structure - RSE (SRS 601.0) which has been replaced by enhanced reporting under reporting standard SRS 605 RSE Structure (SRS 605.0), refer the important notice tab for further details.",,,,,,,,,,,,,,,,,,,,,,,,,,,
