Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options,Number of MySuper products authorised,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2022,Retirement Portfolio Service,61808189263,Public offer,Retail,General base,OnePath Custodians Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"33,669,738",0%,"1,086",2,34%,158.8%,0.7%,0.2%,-5.9%,3.9%,5.9%,"719,569","33,504,499",47,-6%
30/06/2022,Retirement Wrap,39827542991,Public offer,Retail,General base,BT Funds Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"81,875,971",3%,"2,722",2,26%,75.4%,0.1%,0.6%,-6.9%,4.0%,5.9%,"782,187","81,580,828",104,-7%
30/06/2022,Russell Investments Master Trust,89384753567,Public offer,Retail,Corporate base,Total Risk Management Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"9,502,193",8%,39,1,37%,150.7%,0.1%,0.2%,-5.4%,4.7%,6.7%,"73,453","9,366,431",128,-2%
30/06/2022,Smart Future Trust,68964712340,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"5,137,429",3%,39,2,48%,90.8%,0.1%,1.0%,-5.3%,6.3%,8.0%,"215,870","4,992,510",23,10%
30/06/2022,Spirit Super,74559365913,Public offer,Industry,General base,Motor Trades Association of Australia Superannuation Fund Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"25,724,732",0%,21,1,75%,81.7%,0.4%,0.3%,-3.6%,4.9%,7.2%,"331,045","24,751,921",75,0%
30/06/2022,SPSL Master Trust,98350952022,Public offer,Retail,General base,SPSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"6,308,237",0%,54,1,33%,129.2%,0.2%,0.7%,-4.7%,4.5%,6.2%,"130,640","6,193,117",47,-6%
30/06/2022,Star Portfolio Superannuation Fund,24276733959,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Super Retirement Fund,40328908469,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"2,688,386",0%,169,,0%,394.4%,0.0%,0.3%,-3.3%,4.6%,6.1%,"41,342","2,681,472",65,-11%
30/06/2022,SuperTrace Superannuation Fund,73703878235,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Symetry Personal Retirement Fund,24685968122,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,166,931",0%,596,,0%,403.1%,0.0%,0.4%,-6.1%,3.2%,4.9%,"5,255","1,161,653",221,-11%
30/06/2022,Telstra Superannuation Scheme,85502108833,Public offer,Corporate,Corporate base,Telstra Super Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"24,004,342",6%,19,1,33%,134.0%,0.4%,0.3%,-2.5%,5.2%,7.4%,"91,361","23,081,595",253,0%
30/06/2022,The Bendigo Superannuation Plan,57526653420,Public offer,Retail,General base,Bendigo Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,484,076",0%,13,1,25%,113.5%,0.0%,0.2%,-7.3%,3.9%,5.5%,"19,850","1,479,859",75,-3%
30/06/2022,The Towers Watson Superannuation Fund,93268215348,Non public offer,Retail,Corporate base,Wycomp Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"31,305",61%,5,,0%,573.7%,0.0%,0.4%,-2.9%,4.7%,6.3%,183,"24,398",133,-12%
30/06/2022,The University of Wollongong Professorial Superannuation Scheme,68672265781,Public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Tidswell Master Superannuation Plan,34300938877,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,143,959",0%,127,,0%,23.0%,0.1%,1.0%,-13.8%,4.1%,,"73,475","1,095,435",15,38%
30/06/2022,TWU Superannuation Fund,77343563307,Public offer,Industry,Industry base,T W U Nominees Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"6,237,646",0%,6,1,86%,98.2%,0.3%,0.5%,-3.1%,5.1%,7.6%,"98,929","6,079,817",61,-5%
30/06/2022,Ultimate Superannuation Fund,97900294767,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"212,064",0%,310,,0%,298.6%,0.0%,0.5%,-6.5%,2.7%,,846,"211,153",250,-14%
30/06/2022,Unisuper,91385943850,Public offer,Industry,Industry base,Unisuper Limited,Public company ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"103,417,710",24%,17,1,24%,42.0%,0.4%,0.1%,-2.9%,6.1%,8.7%,"525,795","92,252,400",175,6%
30/06/2022,Wealth Personal Superannuation and Pension Fund,92381911598,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"50,611,601",0%,"1,684",,0%,87.6%,0.0%,0.3%,-7.0%,3.5%,5.8%,"316,368","50,424,553",159,7%
30/06/2022,Zurich Master Superannuation Fund,33632838393,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
